seniorcitizen,tenure,monthlycharges,gender_male,partner_yes,dependents_yes,phoneservice_yes,multiplelines_yes,internetservice_fiber_optic,internetservice_no,onlinesecurity_yes,onlinebackup_yes,deviceprotection_yes,techsupport_yes,streamingtv_yes,streamingmovies_yes,contract_one_year,contract_two_year,paperlessbilling_yes,paymentmethod_credit_card_(automatic),paymentmethod_electronic_check,paymentmethod_mailed_check,paymentmethod_credit_card
0,-1.1147282801182177,0.5042861484510788,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0.0,1,0,
1,-1.1958844299632747,0.7241891470889775,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0.0,1,0,
0,-1.1958844299632747,0.33729214196665935,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1.0,0,0,
0,1.1170658406208545,0.5158599904846523,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1.0,0,0,
0,-0.8306817556605175,1.1226599942448703,0,0,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0.0,0,0,
0,1.3199562152334972,-1.5079089593859372,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,-0.5872133061253461,-1.519482801419511,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1,0,
0,-0.9929940553506318,-0.028110585093308608,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0.0,0,1,
0,-0.059698332132474476,-1.47153402728042,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0.0,0,1,
0,1.3605342901560258,-1.3161138628295743,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,
0,-1.277040579808332,-1.47153402728042,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,-0.4249010064352317,-1.499641929361956,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,1.441690440001083,-1.469880621275624,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,-0.5466352312028174,-0.5075983264842161,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0,0,
0,-1.1958844299632747,-1.49798852335716,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.6040027396911973,0.6712801549354983,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0.0,1,0,
0,-1.277040579808332,-0.34060431999979657,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
0,-1.277040579808332,-1.4930283053427713,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
1,1.6040027396911973,1.385551549007471,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,1,0.0,0,0,
0,-0.26258870674511736,0.1504572634246848,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,1,0.0,0,0,
0,-1.1958844299632747,-0.4728768003834952,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0,1,
0,1.5634246647686687,0.8250469133815482,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0.0,0,0,
0,0.4272385669378685,-0.5257857925369748,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0.0,0,0,
0,-0.7089475308929317,-1.4930283053427713,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,-0.38432293151270314,-1.327687704863148,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1.0,0,0,
0,-1.277040579808332,-0.4745302063882914,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.0764877656983258,1.362403864940324,0,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0.0,1,0,
0,1.5634246647686687,1.4566480072137091,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0.0,0,0,
1,0.6301289415505114,0.18848560153499835,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,
0,-0.30316678166764593,1.3227221208252145,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,0,0,
1,1.6040027396911973,-1.307846832805593,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0.0,0,0,
0,1.52284658984614,1.6286022317125175,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,0,0,
0,-1.2364625048858033,-1.47153402728042,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,0.5489727917054542,-1.506255553381141,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,-0.34374485659017456,-0.14880922344343336,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0.0,0,0,
1,0.7112850913955685,0.7638708912040872,0,1,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0.0,1,0,
1,0.4272385669378685,1.4086992330746182,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0.0,1,0,
0,1.6040027396911973,0.462950998331173,0,1,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0.0,1,0,
0,-0.9524159804281033,0.35713301402421394,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0.0,0,0,
0,1.0359096907757972,0.00991775301700495,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,1.0,0,0,
0,-0.34374485659017456,0.14880385741988864,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0.0,0,0,
0,0.5489727917054542,0.859768439482269,0,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0.0,0,0,
0,-1.3176186547308604,0.27776952579399455,0,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0.0,0,1,
1,-1.1958844299632747,0.47783165237433917,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0.0,1,0,
0,-0.6683694559704032,-1.4946817113475674,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1.0,0,0,
0,0.8330193161631543,1.5062501873575962,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0.0,1,0,
1,1.3199562152334972,0.9738534538132092,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0.0,1,0,
0,0.5489727917054542,-1.4880680873283825,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,-0.38432293151270314,0.28768996182277234,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1.0,0,0,
0,-1.1958844299632747,0.00991775301700495,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0.0,0,1,
0,-1.074150205195689,-0.3058827938990755,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0.0,0,0,
0,0.9953316158532686,-0.3058827938990755,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0.0,1,0,
0,0.5083947167829257,0.8052060413239931,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,1.0,0,0,
0,1.52284658984614,-0.8233988734002967,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0.0,0,1,
0,-1.2364625048858033,-1.3194206748391668,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
1,0.2243481923252256,1.1441542723072209,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0.0,1,0,
0,-1.074150205195689,0.13723001538631474,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1,0,
0,-0.790103680737989,0.7936321992904196,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,1.0,0,0,
0,-1.155306355040746,0.7770981392424573,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,0.6301289415505114,1.0565237540530208,1,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,0.0,0,0,
0,0.34608241709281135,0.7026948690266268,0,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,0.0,0,0,
0,1.2793781403109687,1.304534654772456,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,0.0,0,0,
0,1.52284658984614,0.4877520884031165,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,0.0,0,0,
0,-1.277040579808332,0.3191046759139004,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1.0,0,0,
0,0.2243481923252256,0.4794850583791353,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,0.0,1,0,
0,-1.1147282801182177,1.0350294759906697,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0.0,1,0,
0,1.1170658406208545,0.8134730713479743,1,0,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0.0,1,0,
1,-0.26258870674511736,0.6861608089786645,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,1.0,0,0,
0,-0.8712598305830461,1.1425008663024248,0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
0,1.2793781403109687,1.304534654772456,1,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1,0.0,0,0,
1,1.5634246647686687,1.6567101337940533,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0.0,0,0,
0,1.4011123650785544,0.16368451146305485,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,1,0.0,0,0,
1,-0.9118379055055746,0.26123546574603224,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.0,1,0,
1,-0.14085448197753164,1.2896540007292896,1,1,1,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
0,1.3605342901560258,-0.34060431999979657,1,1,1,0,0,0,0,0,0,1,1,1,1,0,1,0,0.0,0,0,
0,-0.10027640705500306,0.08762783524242773,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0.0,1,0,
0,-0.6683694559704032,-0.06283211119402941,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.0,0,0,
1,0.8735973910856829,0.23643437567408873,0,0,0,1,1,0,0,0,1,0,1,1,0,1,0,0,0.0,0,1,
1,1.5634246647686687,1.1325804302736475,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,1,0.0,1,0,
0,-1.2364625048858033,0.7043482750314229,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,1,0.0,1,0,
0,-1.277040579808332,-0.5009847024650312,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,
0,-0.2220106318225888,1.1755689863983494,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0.0,0,0,
0,-1.0335721302731604,0.16533791746785098,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0.0,0,0,
0,-0.4249010064352317,-1.5112157713955297,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0.0,0,1,
0,-0.10027640705500306,-0.30753619990387193,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0.0,0,1,
0,-0.26258870674511736,-1.4930283053427713,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1.0,0,0,
0,-0.9524159804281033,-0.3174566359326492,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0.0,1,0,
0,1.1170658406208545,-1.5112157713955297,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,
0,-0.790103680737989,-1.4731874332852164,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0,1,
0,1.6040027396911973,-1.321074080843963,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
1,-0.18143255690006022,1.2681597226669385,0,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0.0,1,0,
0,0.26492626724775414,-1.3061934268007966,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0.0,0,0,
0,-0.8306817556605175,-0.9738588198367539,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0.0,0,1,
0,-0.30316678166764593,-1.4599601852468467,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,-0.34374485659017456,1.193756452451108,1,1,0,1,1,1,0,0,0,1,0,1,1,0,0,1,0.0,1,0,
0,-0.9929940553506318,-1.3045400207960005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,1,
0,1.1576439155433829,0.9722000478084126,0,1,0,1,1,1,0,0,1,0,1,0,1,0,1,1,0.0,0,0,
0,-1.155306355040746,-1.3111536448151857,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,1.0,0,0,
1,-0.4654790813577603,0.9688932357988204,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0.0,1,0,
0,-1.277040579808332,1.0218022279522996,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0.0,1,0,
0,-0.7089475308929317,0.3356387359618627,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.0,0,1,
1,-0.7495256058154603,-1.49798852335716,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.0,0,1,
0,0.8735973910856829,-1.4847612753187902,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1.0,0,0,
0,-1.277040579808332,-1.0003133159134936,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0.0,1,0,
